S.No.,Institute Code,Institute Name,Place,District,Region,Minority,Inst.Type,University Name,Address,Type of College,Year of EST
295,14717,"GDC (W)(A)(KVR), Kurnool",KURNOOL,KURNOOL,SVU,NO,Women,"CLUSTER UNIVERSITY, KURNOOL","Railwaystation Road,kurnool",University College,1958
296,14722,KVR KVR AND MKR COLLEGE KAJIPALEM,PITTALAVANIPALEM,BAPATLA,AU,NO,COED,ACHARYA NAGARJUNA UNIVERSITY,"4-28/A3 KHAJIPALEM,KHAJIPALEM,PITTALAVANIPALEM,Guntur,522329",Private Aided,1981
297,14759,LAMP DEGREE COLLEGE  MUMMIDIVARAM,MUMMIDIVARAM,KONASEEMA,AU,NO,COED,ADIKAVI NANNAYA UNIVERSITY,NEAR MULATUMU,Private Un-Aided,1997
298,14798,LENDI DEGREE COLLEGE NRPALEM,KODAVALUR,SRI POTTI SRIRAMULU NELLORE,SVU,NO,COED,VIKRAMA SIMHAPURI UNIVERSITY,"NR palem,kodavalur ,nellore,KODAVALUR,KODAVALUR,Nellore,524316",Private Un-Aided,1999
299,14805,LEPAKSHI DEGREE COLLEGE  PRODDATUR,Proddatur (Urban),YSR,SVU,NO,COED,YOGI VEMANA UNIVERSITY,"3/395,Proddatur (Urban),Proddatur (Urban),Kadapa,516360",Private Un-Aided,2003
300,14820,"LITTLE FLOWER DEGREE COLLEGE, CHINTALAPUDI.",CHINTALAPUDI,ELURU,AU,NO,COED,ADIKAVI NANNAYA UNIVERSITY,fire station center chintalapudi,Private Un-Aided,2005
301,14833,LITTLE ROSE DEGREE COLLEGE DRAKSHARAMA,RAMACHANDRAPURAM,KONASEEMA,AU,NO,COED,ADIKAVI NANNAYA UNIVERSITY,"1-191,DRAKSHARAMA,RAMACHANDRAPURAM,East Godavari,533262",Private Un-Aided,2002
302,14841,LNGV RAO MODERN DEG COLLEGE RAMACHANDRAPURAM,Ramachandrapuram (Urban),KONASEEMA,AU,NO,COED,ADIKAVI NANNAYA UNIVERSITY,"D.NO.14-13-2636,Surya Nagar,Ramachandrapuram (Urban),Ramachandrapuram (Urban),East Godavari,533255",Private Un-Aided,1994
303,14881,"Kotha Hanumaiah & Lakshmi Kotamma Degree College, Piduguralla",PIDUGURALLA,PALNADU,AU,NO,COED,ACHARYA NAGARJUNA UNIVERSITY,"KallamTownship,phaseII,Macherla Road,piduguralla.,PIDUGURALLA,PIDUGURALLA,Guntur,522413",Private Un-Aided,2005
304,14891,MVR DEGREE COLLEGE KARLAPALEM,KARLAPALEM,BAPATLA,AU,NO,COED,ACHARYA NAGARJUNA UNIVERSITY,"P.K.R Jr COLLEGE ROADKARLAPALEMGUNTUR,KARLAPALEM,KARLAPALEM,Guntur,522111",Private Un-Aided,2008
